length_m,objectid,featuretype,description,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,capacitykv,comment_,st_lengthshape
86010.47945805,1,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Taree to Stroud,Operational,New South Wales,4,2024/03/14 00:00:00+00,{64882B43-8B25-4ACB-A8DC-DD8CF401D2D4},132,,0.848055297413786
73940.19796231,2,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Cooma to Williamsdale,Operational,New South Wales,5,2024/03/14 00:00:00+00,{D52A3EC9-D09A-423C-83DF-C4604D793E7F},132,,0.679662378323532
79961.0569,3,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Williamsdale to Cooma,Operational,New South Wales,5,2024/03/14 00:00:00+00,{41A573D9-3006-461C-AA75-49EDA02B6BE4},132,,0.750759091485869
115002.9332853,4,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Sydney West to Bannaby,Operational,New South Wales,4,2024/03/14 00:00:00+00,{FC256EF1-11D5-4566-AB91-9302D10D3C2A},330,,1.14082037294634
62886.25422607,5,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Mulwala to Finley,Operational,New South Wales,5,2024/03/14 00:00:00+00,{A8BAA736-13EE-4DE6-ABFD-7C5CC2DB7093},132,,0.643965454252372
40450.23781886,6,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Corowa to Mulwala,Operational,New South Wales,5,2024/03/14 00:00:00+00,{398D408D-FA67-42B5-9262-79969913A53C},132,,0.438720809173423
59270.409803,7,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Corowa to Albury,Operational,New South Wales,5,2024/03/14 00:00:00+00,{C43F8A5B-ACBA-4871-A928-E409104DFBF5},132,,0.636882748196196
49034.94994767,8,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Williamsdale to Canberra,Operational,New South Wales,5,2024/03/14 00:00:00+00,{4F71361D-7A46-4869-8D62-CA7888B52219},330,,0.465835205866259
12819.73334864,9,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Lennox Head to Ballina,Operational,New South Wales,5,2024/03/14 00:00:00+00,{F784922E-B939-4738-BDA2-F02D1E8B2E45},66,,0.121661230103554
7409.26788018,10,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Ewingsdale to Suffolk Park,Operational,New South Wales,5,2024/03/14 00:00:00+00,{242B84DC-0445-47AB-A9A1-CE370469E62B},132,,0.0711964190467672
13574.27978715,11,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Suffolk Park to Lennox Head,Operational,New South Wales,5,2024/03/14 00:00:00+00,{A8446264-284C-45AB-8394-6CCC71C802F9},132,,0.125395397981557
3536.87629675,12,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Lismore Substation to Lismore 132 (North),Operational,New South Wales,5,2024/03/14 00:00:00+00,{EA2AE282-63AC-4F5A-80EB-E54E5A96554F},66,,0.034917293325344
6249.46563769,13,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Lismore Substation to Lismore 132 (South),Operational,New South Wales,5,2024/03/14 00:00:00+00,{230F5602-3482-4953-BDB1-D21DD54ED189},66,,0.0619677703342063
68488.60985188,14,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Glen Innes to Inverell,Operational,New South Wales,5,2024/03/14 00:00:00+00,{35418663-689A-41D5-903F-6F1E4118B5F5},132,,0.695553159062679
15531.2896035,15,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Nyngan Solar Farm,Operational,New South Wales,5,2024/03/14 00:00:00+00,{3D0DD6D8-8271-4D24-8641-3F2BE759B8E2},132,,0.158199108687938
19889.31992875,16,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Williamsdale to Googong Town,Operational,New South Wales,5,2024/03/14 00:00:00+00,{42EEDDB5-C2C8-423C-A804-FCA359D3770C},132,,0.189848558171365
26855.34603451,17,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Millingandi to Eden,Operational,New South Wales,5,2024/03/14 00:00:00+00,{B45AC71A-B19B-414D-B1D0-4872E80D90F0},66,,0.265447399301149
17428.70561631,18,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Eden to Edrom,Operational,New South Wales,5,2024/03/14 00:00:00+00,{EF6F01BB-4A50-4062-B51A-214AE2E9B018},66,,0.175957913167326
48539.34125672,19,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Brandy Hill to Stroud,Operational,New South Wales,5,2024/03/14 00:00:00+00,{2A6071BC-6E38-42AA-B5BA-6749614B432C},132,,0.464612747514173
184120.53365772,20,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Narrabri to Walgett,Operational,New South Wales,5,2024/03/14 00:00:00+00,{77233700-5DCC-46EE-AB32-179CA95734D0},66,,1.86395248111247
4108.01866825,21,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Bungalora to Terranora,Operational,New South Wales,5,2024/03/14 00:00:00+00,{A7BAFBBC-34E8-47E7-A959-8895CDE61C9C},110,,0.0401999324611885
23806.95635792,22,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Black Range to Millingandi,Operational,New South Wales,5,2024/03/14 00:00:00+00,{00C0F009-51C5-4EA7-9B7B-D687EA4056AB},66,,0.225186074363553
34746.22153584,23,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Lismore 132 to Kyolgle,Operational,New South Wales,5,2024/03/14 00:00:00+00,{D6519889-5DFD-4E9B-B09C-18778E381537},66,,0.337350372399019
36970.62944873,24,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Lismore 132 to Woodburn,Operational,New South Wales,5,2024/03/14 00:00:00+00,{ADFD5F1F-58E3-474A-BBEE-851EF41515EB},66,,0.345022829974411
9984.18593393,25,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Broadwater to tee,Operational,New South Wales,5,2024/03/14 00:00:00+00,{5868E8A4-A323-42EC-9663-FE66AA642F2C},66,,0.0996983639577318
52827.60350314,26,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Glen innes to Guyra,Operational,New South Wales,5,2024/03/14 00:00:00+00,{1E6E4BFA-CC78-451C-95E5-D5887B3916D7},66,,0.482254213923652
51632.3060053,27,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Strathnairn to Texas,Operational,New South Wales,5,2024/03/14 00:00:00+00,{032EB1C8-0C4F-471F-B371-52A3BE619368},66,,0.489893555727258
36792.45388572,28,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Strathnairn to Coolatai,Operational,New South Wales,5,2024/03/14 00:00:00+00,{D43F42C7-1B9A-4889-89ED-57734CD934BF},66,,0.374612862350321
99808.89985869,29,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Coolatai to Goondiwindi,Operational,New South Wales,5,2024/03/14 00:00:00+00,{93400540-D6E9-4769-9379-90A0CEF3A249},66,,0.938276945447007
37381.87979329,30,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Coolatai to Warialda,Operational,New South Wales,5,2024/03/14 00:00:00+00,{AAFB4A44-3B23-4853-B703-1EE3CCE1A00F},66,,0.352175322715668
57756.79833992,31,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Strathnairn to Emmaville,Operational,New South Wales,5,2024/03/14 00:00:00+00,{3059CB0D-C8D6-46BD-80CB-D146CF4AFEF7},66,,0.575302380074137
